pokemon_id,name,type_1,type_2,hit_points,attack,defense,special_attack,special_defense,speed,generation,legendary,evolves_from_id
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,FALSE,0
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,FALSE,1
3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,FALSE,2
4,Charmander,Fire,,39,52,43,60,50,65,1,FALSE,0
5,Charmeleon,Fire,,58,64,58,80,65,80,1,FALSE,4
6,Charizard,Fire,Flying,78,84,78,109,85,100,1,FALSE,5
7,Squirtle,Water,,44,48,65,50,64,43,1,FALSE,0
8,Wartortle,Water,,59,63,80,65,80,58,1,FALSE,7
9,Blastoise,Water,,79,83,100,85,105,78,1,FALSE,8
10,Caterpie,Bug,,45,30,35,20,20,45,1,FALSE,0
11,Metapod,Bug,,50,20,55,25,25,30,1,FALSE,10
12,Butterfree,Bug,Flying,60,45,50,90,80,70,1,FALSE,11
13,Weedle,Bug,Poison,40,35,30,20,20,50,1,FALSE,0
14,Kakuna,Bug,Poison,45,25,50,25,25,35,1,FALSE,13
15,Beedrill,Bug,Poison,65,90,40,45,80,75,1,FALSE,14
16,Pidgey,Normal,Flying,40,45,40,35,35,56,1,FALSE,0
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,FALSE,16
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,FALSE,17
19,Rattata,Normal,,30,56,35,25,35,72,1,FALSE,0
20,Raticate,Normal,,55,81,60,50,70,97,1,FALSE,19
21,Spearow,Normal,Flying,40,60,30,31,31,70,1,FALSE,0
22,Fearow,Normal,Flying,65,90,65,61,61,100,1,FALSE,21
23,Ekans,Poison,,35,60,44,40,54,55,1,FALSE,0
24,Arbok,Poison,,60,85,69,65,79,80,1,FALSE,23
25,Pikachu,Electric,,35,55,40,50,50,90,1,FALSE,0
26,Raichu,Electric,,60,90,55,90,80,110,1,FALSE,25
27,Sandshrew,Ground,,50,75,85,20,30,40,1,FALSE,0
28,Sandslash,Ground,,75,100,110,45,55,65,1,FALSE,27
29,Nidoran,Poison,,55,47,52,40,40,41,1,FALSE,0
30,Nidorina,Poison,,70,62,67,55,55,56,1,FALSE,29
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,FALSE,30
32,Nidoran,Poison,,46,57,40,40,40,50,1,FALSE,0
33,Nidorino,Poison,,61,72,57,55,55,65,1,FALSE,32
34,Nidoking,Poison,Ground,81,102,77,85,75,85,1,FALSE,33
35,Clefairy,Fairy,,70,45,48,60,65,35,1,FALSE,0
36,Clefable,Fairy,,95,70,73,95,90,60,1,FALSE,35
37,Vulpix,Fire,,38,41,40,50,65,65,1,FALSE,0
38,Ninetales,Fire,,73,76,75,81,100,100,1,FALSE,37
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,FALSE,0
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,FALSE,39
41,Zubat,Poison,Flying,40,45,35,30,40,55,1,FALSE,0
42,Golbat,Poison,Flying,75,80,70,65,75,90,1,FALSE,41
